缩写,全称,默认值,含义,是否能从网页获取
rwlx,任务类型,1,主修课程为1，其它为2,是
xkly,选课ly,0,未知,是
bklx_id,板块类型,0,未知,是
sfkkjyxdxnxq,未知,0,是否开课建议修读学年学期,否
xqh_id,学期号,1,不确定,是
jg_id,未知,05,未知,否
njdm_id_1,年级代码,2020,年级代码,是
zyh_id_1,专业号,0523,,是
zyh_id,专业号,0523,,是
zyfx_id,专业方向,wfx,专业方向,是
njdm_id,年级代码,2020,年级代码,是
bh_id,班号,20052312,班号,是
xbm,未知,1,未知,是
xslbdm,学生类别代码,7,未知,是
ccdm,未知,8,未知,是
xsbj,学生班级/学生标记,4294967296,未知,是
sfkknj,是否开课年级,1,,是
sfkkzy,是否开课专业,1,,是
kzybkxy,看专业不看学院？,0,未知,是
sfznkx,是否只能可选？,0,,是
zdkxms,未知,0,,是
sfkxq,是否开学前?,0,未知,是
sfkcfx,是否课程方向？,0,未知,是
kkbk,未知,0,,是
kkbkdj,未知,0,,是
sfkgbcx,未知,1,,是
sfrxtgkcxd,未知,1,,是
tykczgxdcs,未知,1,,是
xkxnm,选课学年,2021,,是
xkxqm,选课学期,12,,是
kklxdm,开课类型代码,01,主修是01，通识选修是10，体育是05，特殊是09,
rlkz,容量控制？,0,,是
xkzgbj,选课xx班级,0,,是
kspage,未知,1,,是
jspage,未知,10,,是
jxbzb,教学班xx,,,是
